Date,Close,Open,High,Low
2/27/23,3982.24,3992.36,4018.05,3973.55
2/24/23,3970.04,3973.24,3978.25,3943.08
2/23/23,4012.32,4018.6,4028.3,3969.19
2/22/23,3991.05,4001.83,4017.37,3976.9
2/21/23,3997.34,4052.35,4052.35,3995.19
2/17/23,4079.09,4077.39,4081.51,4047.95
2/16/23,4090.41,4114.75,4136.54,4089.49
2/15/23,4147.6,4119.5,4148.11,4103.98
2/14/23,4136.13,4126.7,4159.77,4095.01
2/13/23,4137.29,4096.62,4138.9,4092.67
2/10/23,4090.46,4068.92,4094.36,4060.79
2/9/23,4081.5,4144.25,4156.23,4069.67
2/8/23,4117.86,4153.47,4156.85,4111.67
2/7/23,4164,4105.35,4176.54,4088.39
2/6/23,4111.08,4119.57,4124.63,4093.38
2/3/23,4136.48,4136.69,4182.36,4123.36
2/2/23,4179.76,4158.68,4195.44,4141.88
2/1/23,4119.21,4070.07,4148.95,4037.2
1/31/23,4076.6,4020.85,4077.16,4020.44
1/30/23,4017.77,4049.27,4063.85,4015.55
1/27/23,4070.56,4053.72,4094.21,4048.7
1/26/23,4060.43,4036.08,4061.57,4013.29
1/25/23,4016.22,3982.71,4019.55,3949.06
1/24/23,4016.95,4001.74,4023.92,3989.79
1/23/23,4019.81,3978.14,4039.31,3971.64
1/20/23,3972.61,3909.04,3972.96,3897.86
1/19/23,3898.85,3911.84,3922.94,3885.54
1/18/23,3928.86,4002.25,4014.16,3926.59
1/17/23,3990.97,3999.28,4015.39,3984.57
1/13/23,3999.09,3960.6,4003.95,3947.67
1/12/23,3983.17,3977.57,3997.76,3937.56
1/11/23,3969.61,3932.35,3970.07,3928.54
1/10/23,3919.25,3888.57,3919.83,3877.29
1/9/23,3892.09,3910.82,3950.57,3890.42
1/6/23,3895.08,3823.37,3906.19,3809.56
1/5/23,3808.1,3839.74,3839.74,3802.42
1/4/23,3852.97,3840.36,3873.16,3815.77
1/3/23,3824.14,3853.29,3878.46,3794.33
12/30/22,3839.5,3829.06,3839.85,3800.34
12/29/22,3849.28,3805.45,3858.19,3805.45
12/28/22,3783.22,3829.56,3848.32,3780.78
12/27/22,3829.25,3843.34,3846.65,3813.22
12/23/22,3844.82,3815.11,3845.8,3797.01
12/22/22,3822.39,3853.26,3853.26,3764.49
12/21/22,3878.44,3839.49,3889.82,3839.49
12/20/22,3821.62,3810.47,3838.24,3795.62
12/19/22,3817.66,3853.79,3854.86,3800.04
12/16/22,3852.36,3890.91,3890.91,3827.91
12/15/22,3895.75,3958.37,3958.37,3879.45
12/14/22,3995.32,4015.54,4053.76,3965.65
12/13/22,4019.65,4069.38,4100.96,3993.03
12/12/22,3990.56,3939.29,3990.71,3935.3
12/9/22,3934.38,3954.17,3977.02,3933.04
12/8/22,3963.51,3947.79,3974.19,3935.83
12/7/22,3933.92,3933.28,3957.57,3922.68
12/6/22,3941.26,3996.63,4001.51,3918.39
12/5/22,3998.84,4052.02,4052.45,3984.49
12/2/22,4071.7,4040.17,4080.48,4026.63
12/1/22,4076.57,4087.14,4100.51,4050.87
11/30/22,4080.11,3957.18,4080.11,3938.58
11/29/22,3957.63,3964.19,3976.77,3937.65
11/28/22,3963.94,4005.36,4012.27,3955.77
11/25/22,4026.12,4023.34,4034.02,4020.76
11/23/22,4027.26,4000.3,4033.78,3998.66
11/22/22,4003.58,3965.51,4005.88,3956.88
11/21/22,3949.94,3956.23,3962,3933.34
11/18/22,3965.34,3966.39,3979.89,3935.98
11/17/22,3946.56,3919.26,3954.33,3906.54
11/16/22,3958.79,3976.82,3983.09,3954.34
11/15/22,3991.73,4006.41,4028.84,3953.17
11/14/22,3957.25,3977.97,4008.97,3956.4
11/11/22,3992.93,3963.72,4001.48,3944.82
11/10/22,3956.37,3859.89,3958.33,3859.89
11/9/22,3748.57,3810.94,3818.2,3744.22
11/8/22,3828.11,3817.02,3859.4,3786.28
11/7/22,3806.8,3780.71,3813.95,3764.7
11/4/22,3770.55,3766.98,3796.34,3708.84
11/3/22,3719.89,3733.25,3750.59,3698.15
11/2/22,3759.69,3852.9,3894.44,3758.68
11/1/22,3856.1,3901.79,3911.79,3843.8
10/31/22,3871.98,3881.85,3893.73,3863.18
10/28/22,3901.06,3808.26,3905.42,3808.26
10/27/22,3807.3,3834.69,3859.95,3803.79
10/26/22,3830.6,3825.97,3886.15,3824.07
10/25/22,3859.11,3799.44,3862.85,3799.44
10/24/22,3797.34,3762.01,3810.74,3741.65
10/21/22,3752.75,3657.1,3757.89,3647.42
10/20/22,3665.78,3689.05,3736,3656.44
10/19/22,3695.16,3703.11,3728.58,3666.51
10/18/22,3719.98,3746.26,3762.79,3686.53
10/17/22,3677.95,3638.65,3689.73,3638.65
10/14/22,3583.07,3690.41,3712,3579.68
10/13/22,3669.91,3520.37,3685.41,3491.58
10/12/22,3577.03,3590.83,3608.34,3573.86
10/11/22,3588.84,3595.86,3640.66,3568.45
10/10/22,3612.39,3647.51,3652.17,3588.1
10/7/22,3639.66,3706.74,3706.74,3620.73
10/6/22,3744.52,3771.97,3797.93,3739.22
10/5/22,3783.28,3753.25,3806.91,3722.66
10/4/22,3790.93,3726.46,3791.92,3726.46
10/3/22,3678.43,3609.78,3698.35,3604.93
9/30/22,3585.62,3633.48,3671.44,3584.13
9/29/22,3640.47,3687.01,3687.01,3610.4
9/28/22,3719.04,3651.94,3736.74,3640.61
9/27/22,3647.29,3686.44,3717.53,3623.29
9/26/22,3655.04,3682.72,3715.67,3644.76
9/23/22,3693.23,3727.14,3727.14,3647.47
9/22/22,3757.99,3782.36,3790.9,3749.45
9/21/22,3789.93,3871.4,3907.07,3789.49
9/20/22,3855.93,3875.23,3876.01,3827.54
9/19/22,3899.89,3849.91,3900.45,3838.5
9/16/22,3873.33,3880.95,3880.95,3837.08
9/15/22,3901.35,3932.41,3959.14,3888.28
9/14/22,3946.01,3940.73,3961.94,3912.18
9/13/22,3932.69,4037.12,4037.12,3921.28
9/12/22,4110.41,4083.67,4119.28,4083.67
9/9/22,4067.36,4022.94,4076.81,4022.94
9/8/22,4006.18,3959.94,4010.5,3944.81
9/7/22,3979.87,3909.43,3987.89,3906.03
9/6/22,3908.19,3930.89,3942.55,3886.75
9/2/22,3924.26,3994.66,4018.43,3906.21
9/1/22,3966.85,3936.73,3970.23,3903.65
8/31/22,3955,4000.67,4015.37,3954.53
8/30/22,3986.16,4041.25,4044.98,3965.21
8/29/22,4030.61,4034.58,4062.99,4017.42
8/26/22,4057.66,4198.74,4203.04,4057.66
8/25/22,4199.12,4153.26,4200.54,4147.59
8/24/22,4140.77,4126.55,4156.56,4119.97
8/23/22,4128.73,4133.09,4159.77,4124.03
8/22/22,4137.99,4195.08,4195.08,4129.86
8/19/22,4228.48,4266.31,4266.31,4218.7
8/18/22,4283.74,4273.13,4292.53,4261.98
8/17/22,4274.04,4280.4,4302.18,4253.08
8/16/22,4305.2,4290.46,4325.28,4277.77
8/15/22,4297.14,4269.37,4301.79,4256.9
8/12/22,4280.15,4225.02,4280.47,4219.78
8/11/22,4207.27,4227.4,4257.91,4201.41
8/10/22,4210.24,4181.02,4211.03,4177.26
8/9/22,4122.47,4133.11,4137.3,4112.09
8/8/22,4140.06,4155.93,4186.62,4128.97
8/5/22,4145.19,4115.87,4151.58,4107.31
8/4/22,4151.94,4154.85,4161.29,4135.42
8/3/22,4155.17,4107.96,4167.66,4107.96
8/2/22,4091.19,4104.21,4140.47,4079.81
8/1/22,4118.63,4112.38,4144.95,4096.02
7/29/22,4130.29,4087.33,4140.15,4079.22
7/28/22,4072.43,4026.13,4078.95,3992.97
7/27/22,4023.61,3951.43,4039.56,3951.43
7/26/22,3921.05,3953.22,3953.22,3910.74
7/25/22,3966.84,3965.72,3975.3,3943.46
7/22/22,3961.63,3998.43,4012.44,3938.86
7/21/22,3998.95,3955.47,3999.29,3927.64
7/20/22,3959.9,3935.32,3974.13,3922.03
7/19/22,3936.69,3860.73,3939.81,3860.73
7/18/22,3830.85,3883.79,3902.44,3818.63
7/15/22,3863.16,3818,3863.62,3817.18
7/14/22,3790.38,3763.99,3796.41,3721.56
7/13/22,3801.78,3779.67,3829.44,3759.07
7/12/22,3818.8,3851.95,3873.41,3802.36
7/11/22,3854.43,3880.94,3880.94,3847.22
7/8/22,3899.38,3888.26,3918.5,3869.34
7/7/22,3902.62,3858.85,3910.63,3858.85
7/6/22,3845.08,3831.98,3870.91,3809.37
7/5/22,3831.39,3792.61,3832.19,3742.06
7/1/22,3825.33,3781,3829.82,3752.1
6/30/22,3785.38,3785.99,3818.99,3738.67
6/29/22,3818.83,3825.09,3836.5,3799.02
6/28/22,3821.55,3913,3945.86,3820.14
6/27/22,3900.11,3920.76,3927.72,3889.66
6/24/22,3911.74,3821.75,3913.65,3821.75
6/23/22,3795.73,3774.71,3802.58,3743.52
6/22/22,3759.89,3733.89,3801.79,3717.69
6/21/22,3764.79,3715.31,3779.65,3715.31
6/17/22,3674.84,3665.9,3707.71,3636.87
6/16/22,3666.77,3728.18,3728.18,3639.77
6/15/22,3789.99,3764.05,3837.56,3722.3
6/14/22,3735.48,3763.52,3778.18,3705.68
6/13/22,3749.63,3838.15,3838.15,3734.3
6/10/22,3900.86,3974.39,3974.39,3900.16
6/9/22,4017.82,4101.65,4119.1,4017.17
6/8/22,4115.77,4147.12,4160.14,4107.2
6/7/22,4160.68,4096.47,4164.86,4080.19
6/6/22,4121.43,4134.72,4168.78,4109.18
6/3/22,4108.54,4137.57,4142.67,4098.67
6/2/22,4176.82,4095.41,4177.51,4074.37
6/1/22,4101.23,4149.78,4166.54,4073.85
5/31/22,4132.15,4151.09,4168.34,4104.88
5/27/22,4158.24,4077.43,4158.49,4077.43
5/26/22,4057.84,3984.6,4075.14,3984.6
5/25/22,3978.73,3929.59,3999.33,3925.03
5/24/22,3941.48,3942.94,3955.68,3875.13
5/23/22,3973.75,3927.02,3981.88,3909.04
5/20/22,3901.36,3927.76,3943.42,3810.32
5/19/22,3900.79,3899,3945.96,3876.58
5/18/22,3923.68,4051.98,4051.98,3911.91
5/17/22,4088.85,4052,4090.72,4033.93
5/16/22,4008.01,4013.02,4046.46,3983.99
5/13/22,4023.89,3963.9,4038.88,3963.9
5/12/22,3930.08,3903.95,3964.8,3858.87
5/11/22,3935.18,3990.08,4049.09,3928.82
5/10/22,4001.05,4035.18,4068.82,3958.17
5/9/22,3991.24,4081.27,4081.27,3975.48
5/6/22,4123.34,4128.17,4157.69,4067.91
5/5/22,4146.87,4270.43,4270.43,4106.01
5/4/22,4300.17,4181.18,4307.66,4148.91
5/3/22,4175.48,4159.78,4200.1,4147.08
5/2/22,4155.38,4130.61,4169.81,4062.51
4/29/22,4131.93,4253.75,4269.68,4124.28
4/28/22,4287.5,4222.58,4308.45,4188.63
4/27/22,4183.96,4186.52,4240.71,4162.9
4/26/22,4175.2,4278.14,4278.14,4175.04
